Label	Description
psyr	The y positions of regenerated points with acoustical backscattering cross section <acca> [PoSition, Y direction, Regenerated points]
psys	The y position of the voxels inside a segment [PoSition, Y direction, in a Segment]
psyS	The y position of the school at the reference time point [PoSition, Y direction, of the School]
psyv	The y position of the vessel [PoSition, Y direction, of the Vessel]
psyx	The y position of the voxels [PoSition, Y direction, of voXels]
pszc	The z position of the CTD station [PoSition, Z direction, of Ctd station]
psze	The z position of the transducer relative to the sea level [PoSition, Z direction, of the Ecousounder]
pszf	The z position of the fish [PoSition, Z direction, of the Fish]
pszg	The z positions of the grid cells in the global grid, spaced by the global grid size <ggsz> [PoSition, Z direction, global Grid]
pszo	The z position of the object enclosing the school [PoSition, Z direction, of the Object]
pszr	The z positions of regenerated points with acoustical backscattering cross section <acca> [PoSition, Z direction, Regenerated points]
pszs	The z position of the voxels inside a segment [PoSition, Z direction, in a Segment]
pszS	The z position of the school at the reference time point [PoSition, Z direction, of the School]
pszv	The z position of the vessel [PoSition, Z direction, of the Vessel]
pszx	The z position of the voxels [PoSition, Z direction, of voXels]
pVxC	The x position of the calibration sphere in the coordinate system of the vessel, as identified by the electrical angles in the raw files [Position in the coordinate system of the Vessel in the X direction, for the Calibration sphere]
pVyC	The y position of the calibration sphere in the coordinate system of the vessel, as identified by the electrical angles in the raw files [Position in the coordinate system of the Vessel in the Y direction, for the Calibration sphere]
pVzC	The z position of the calibration sphere in the coordinate system of the vessel, as identified by the electrical angles in the raw files [Position in the coordinate system of the Vessel in the Z direction, for the Calibration sphere]
rad1	Radius of the transducer element at emission, as modeled by the quasi-elliptical piston [RADius, 1 = emmission]
rad2	Radius of the transducer element at reception as modeled by the quasi-elliptical piston [RADius, 2 = reception]
rho0	Mass density of the sea at sea level, or at each depth given by <pszc> [RHO as the greek letter used for mass density, 0 denoting zero depth]
rhoS	Packing density of the school [RHO (as in the greek letter) of the School]
rlst	The relative (lsth/msvM) lower schooling threshold used in the Bayesian segmentation method [Relative Lower Schooling Threshold]
rsdM	The height of the spectral density of the highest peak, relative to the spectral density at zero frequency for each ping [Relative Spectral Density, Max]
rspd	The mean height of the spectral density of the highest peak, relative to the spectral density at zero frequency [Relative SPectral Density]
rtxf	Rotation angle of the fish counter clockwise around the x-axis in the coordinate system defined by origin at the center of the fish, z axis in the direction of the fish, x axis horizontal to the starboard side of the fish, and y axis through the stomach of the fish. [RoTation around X axis, for the Fish]
rtxS	Rotation of the school around the x axis of the coordinate system of the school (defined similar to the coordinate system of vessels, see rtzv) [RoTation around X axis, for the School]
rtxv	Rotation angle of the vessel counter clockwise around the x-axis in the coordinate system defined by origin at the center of the vessel, x axis to the starboard side of the vessel, y axis in the direction of the vessel, and z axis along the mast of the vessel. [RoTation around X axis, for the Vessel]
rtyf	Rotation angle of the fish counter clockwise around the y-axis in the coordinate system defined by origin at the center of the fish, z axis in the direction of the fish, x axis horizontal to the starboard side of the fish, and y axis through the stomach of the fish. [RoTation around Y axis, for the Fish]
rtyS	Rotation of the school around the y axis of the coordinate system of the school (defined similar to the coordinate system of vessels, see rtzv) [RoTation around Y axis, for the School]
rtyv	Rotation angle of the vessel counter clockwise around the y-axis in the coordinate system defined by origin at the center of the vessel, x axis to the starboard side of the vessel, y axis in the direction of the vessel, and z axis along the mast of the vessel. [RoTation around Y axis, for the Vessel]
rtzf	Rotation angle of the fish counter clockwise around the z-axis in the coordinate system defined by origin at the center of the fish, z axis in the direction of the fish, x axis horizontal to the starboard side of the fish, and y axis through the stomach of the fish. [RoTation around Z axis, for the Fish]
rtzS	Rotation of the school around the z axis of the coordinate system of the school (defined similar to the coordinate system of vessels, see rtzv) [RoTation around Z axis, for the School]
rtzv	Rotation angle of the vessel counter clockwise around the z-axis in the coordinate system defined by origin at the center of the vessel, x axis to the starboard side of the vessel, y axis in the direction of the vessel, and z axis along the mast of the vessel. [RoTation around Z axis, for the Vessel]
rust	The relative (usth/msvM) upper schooling threshold used in the Bayesian segmentation method [Relative Upper Schooling Threshold]
sacr	A vector of Sa-correction for the beams [SA-CoRrection]
SCLE	The scale used in the optimization, in order to have reasonable values not affecting the optimization [SCaLE, upper case to separate from other potential uses]
scxS	The x position of the center mass in the global coordinate system, of the school, spline smoothed [Smoothed Center of mass, X direction, for the School]
scyS	The y position of the center mass in the global coordinate system, of the school, spline smoothed [Smoothed Center of mass, Y direction, for the School]
sczS	The z position of the center mass in the global coordinate system, of the school, spline smoothed [Smoothed Center of mass, Z direction, for the School]
sadv	Sailed distance of the vessel [SAiled Distance of the Vessel]
SDsz	Standard deviation of the size of the fish in the school [Standard Deviation of the SiZe of the fish]
SDxf	Standard deviation of the noise on the fish positions in the school, in the x-direction [Standard Deviation of the X-position of the Fish]
SDyf	Standard deviation of the noise on the fish positions in the school, in the y-direction [Standard Deviation of the Y-position of the Fish]
SDzf	Standard deviation of the noise on the fish positions in the school, in the z-direction [Standard Deviation of the Z-position of the Fish]
seed	Seeds for drawing fish positions and sizes in the school [SEED of the school]
sfnr	Is the segmentation file number, as included in the file name. For segmentation file order number, as counted from 1, use an integer for segpar [Segmentation File NumbeR]
sfsi	The indices of the beams considered to be afected by surface scattering, and thus discarded from the near range noise estimation, i.e., the near range noise in the beams indexed by <sfni> are extrapolated from the uppermost non-surface scattering beams [SurFace Scattering Index]
sgbE	Indices for the segmentation mask of the bottom reverberation [SeGmentation mask of the BoTtom]
sgbs	(Optimal) backscattering cross section of the point targets [SiGma BackScattering, from the notation in Holmin et al. 2012]
sgbt	Indices for the enlarged segmentation mask of the bottom reverberation [SeGmentation mask of the Bottom Enlarged]
sgmt	A numeric vector of the indices of the voxels inside an arbitrary segment of the acoustic data [SeGMenTation mask]
sgpx	The x position of the voxels inside the segmentation mask [SeGmentated Position of voxel along global X axis]
sgpy	The y position of the voxels inside the segmentation mask [SeGmentated Position of voxel along global Y axis]
sgpz	The z position of the voxels inside the segmentation mask [SeGmentated Position of voxel along global Z axis]
sgPM	A matrix of the parameter values of the segmentation files of an event, with columns <bwG1>, <bwG2>, <bwG3>, <bwGp>, <lsth>, <usth>, <rlst>, <rust>, <sgth>, <sgt0>, <misM>, <code>, <mdf1>, <mdf2>, <mdf3>, <mdft>, <nsTh>, <dBan>, <dBbs>, <smty>, <sfnr> [SeGmentation Parameter Matrix]
sgPN	A vector of the column names of <sgPM> [SeGmentation Parameter Names]
sgs0	Theoretical segmentation voxels indices (obtained from the known target positions) [SeGmentation mask of the School, 0 denoting the theoretical segmentation method]
sgsc	Indices for the segmented voxels [SeGmentation mask of the SChool]
sgsE	The enlarged segmentation mask obtained by the Bayesian segmentation method [SeGmentation mask of the School, Enlarged segmentation]
sgsI	The unthresholded interpolated segmentation mask [SeGmentation mask of the School after Interpolation between time steps, capital I representing unthresholded values, which generally cover a larger volume than thresholded values]
sgsi	The final interpolated segmentation mask [SeGmentation mask of the School after Interpolation between time steps]
sgt0	The segmentation threshold used in the theoretical segmentation method resulting in <sgs0> [SeGmentation Threshold, 0 denoting the theoretical segmentation method]
sgth	Segmentation threshold (c) used in the Bayesian segmentation method [SeGmentation THreshold]
sgvb	The volume backscattering coefficient of the voxels inside the segmentation mask [SeGmentated Volume Backscattering coefficient]
sgvl	The volume of the voxels inside the segmentation mask [SeGmentated VoLume]
shpS	Shape of the school (currently implemented is ellipsoid) [SHaPe of the School]
sint	Sample interval of the transducer [Sample INTerval]
size	Size (length) of the fish [SIZE of the fish]
sllf	The side lobe level factor specifying the exponent by which the beam pattern from a circular piston is raised to obtain the desired side lobe level. The level of the first side lobe of a circular piston is -17.57015 dB of the level of the main lobe, and if a side lobe level of -25 dB should be used, sllf=25/17.57015 [Side Lobe Level Factor]
slty	Salinity in parts pr million [SaLiniTY]
smty	The type of smoothing in segmentation methods, where 1 = mean, 2 = median [SMoothing TYpe]
sn0a	The same as <snra>, but with values at and beyond the first occurrence of snra<thra set to 0 [Smoothed Near range noise with 0, in Active mode]
sn0p	The same as <snrp>, but with values at and beyond the first occurrence of snrp<thrp set to 0 [Smoothed Near range noise with 0, in Passive mode]
snr0	The same as 'snrn', but with values at and beyond the first occurance of snrn<thrs set to 0 [Smoothed Near Range noise with 0]
snra	The matrix of the smoothed (along beams) <nrnp> (active mode), using the filter <fltr> [Smoothed Near Range noise in Active mode]
snrn	The matrix of the smoothed (along beams) 'nrns', using the filter 'fltr' [Smoothed Near Range Noise]
snrp	The matrix of the smoothed (along beams) <nrnp> (passive mode), using the filter <fltr> [Smoothed Near Range noise along 1 dimension]
spow	The exponent in the area-size relation describing the backscattering cross sectional area of the fish. Normally <spow> is equal to 2 [Size POWer]
ssif	A vector of spherical surcafe integral values of the beam pattern of the fish, related to the fish size grid <grsf> [Spherical Surface Integral of the Fish] 
stbs	The spline smoothed total backscatter of a segment of the acoustic data [Smoothed Total BackScatter]
szxo	The size of the object enclosing the school in the x direction, given as semi axis for an ellipsoid and the side length for a cuboid [SiZe in the X direction of the Object]
szxS	Size (semi axis, i.e., half length of the school) of the school along the x axis of the coordinate system of the school (defined similar to the coordinate system of vessels) [SiZe in the X direction of the School]
szyo	The size of the object enclosing the school in the y direction, given as semi axis for an ellipsoid and the side length for a cuboid [SiZe in the Y direction of the Object]
szyS	Size (semi axis, i.e., half length of the school) of the school along the y axis of the coordinate system of the school (defined similar to the coordinate system of vessels) [SiZe in the Y direction of the School]
szzo	The size of the object enclosing the school in the z direction, given as semi axis for an ellipsoid and the side length for a cuboid [SiZe in the Z direction of the Object]
szzS	Size (semi axis, i.e., half length of the school) of the school along the z axis of the coordinate system of the school (defined similar to the coordinate system of vessels) [SiZe in the X direction of the School]
tbss	The estimated total backscatter of a segmented school, estimated by an arbitrary segmentation method [Total BackScattered energy of a segmented School]
temp	Temperature in degrees Celsius [TEMPerature]
thas	A vector of threshold values used to redefine <snra> as 0 beyond the first occurrence of snra<thas, for each beam [THReshold of Active mode Smoothed near range noise]
thps	A vector of threshold values used to redefine <snrp> as 0 beyond the first occurrence of snrp<thps for each beam [THReshold of Passive mode Smoothed near range noise]
thra	A vector of threshold values used to redefine <nrna> as 0 beyond the first occurrence of nrna<thra for each beam [THReshold of near range noise in Active mode]
thrn	A vector of threshold values used to redefine 'nrns' as zeros for each beam (equal to mean(nrns) + sd(nrns) * nsdn) [THReshold of Near range noise]
thrp	A vector of threshold values used to redefine <nrnp> as 0 beyond the first occurrence of nrnp<thrp for each beam [THReshold of near range noise in Passive mode]
thrs	A vector of threshold values used to redefine 'snrn' as zeros for each beam [THReshold of Smoothed near range noise]
thtS	Azimuth direction of the school (global coordinate system) [THeTa of the School]
tilt	Tilt angle of the swim bladder [TILT angle]
Tmsv	Theoretical mean volume backscattering coefficient of a school (Ttbs/Ttvl) [Theoretical Mean (linear) SV of school, upper case T to separate 'theoretical' from 'total']
TmSv	Theoretical mean volume backscattering strength of a school (10*log10(Tmsv)) [Theoretical Mean (deciBel) SV of school, upper case T to separate 'theoretical' from 'total']
tpow	A vector of transmit power of the transducer for each beam [Transmit POWer]
trsv	The theoretical true volume backscattering coefficient, calculated as the sum of the individual backscattering cross sections divided by the volume in which the targets were distributed, used when calibrating echoIBM [TRue (linear) SV of school]
Ttbs	Theoretical total volume backscatter (sigma_bs) of a school [Theoretical Total BackScattering cross section of a school, upper case T to separate 'theoretical' from 'total']
Ttha	Theoretical total horizontal area of the segmented school [Theoretical Total Horizontal Area]
TtTS	Theoretical total volume backscatter (Target Strength) of a school (equal to 10*log10(Ttbs)) [Theoretical Total Target Strength of a school, upper case T to separate 'theoretical' from 'total']
Ttvl	Theoretical total volume of a school [Theoretical Total VoLume of a school, upper case T to separate 'theoretical' from 'total']
tvbs	The total backscatter from an arbitrary segment of the acoustic data, calculated as the sum of the products of volume backscattering coefficients and volumes of the voxels of the segment [Total Volume Backscattering coefficien of a Segment]
tvls	The estimated total volume of a segmented school, estimated by an arbitrary segmentation method [Total VoLume of a Segment]
tvol	The total volume in an arbitrary segment of the acoustic data, calculated as the sum of the volumes of the voxels of the segment [Total VOLume]
typo	A string holding the type of the object enclosing the school (ellipsoid or cuboid) [TYP of Object]
UPPP	Upper boundary for the optimization of periodic noise corresponding to pns1*1e14 (scaling required for the optimization), <pns2> and <pns3> [UPPer boundary, Preiodic noise, upper case to separate from other potential uses]
usth	The upper schooling threshold used in the Bayesian segmentation method [Upper Schooling THreshold]
utim	A vector of UNIX time points [Unix TIMe points]
utma	A vector of UNIX time points for the active data [Unix TiMe points of Active data]
utmp	A vector of UNIX time points for the passive data [Unix TiMe points of Passive data]
utmS	UNIX time of the reference time point of the school [Unix TiMe of School]
ut9S	UNIX time of the end time point of the school. Schools are set to NA at and beyond this time point [Unix Time end (represented by 9) of School]
vbsc	The volume backscattering coefficient data [Volume BackScattering Coefficient]
vbsC	The volume backscattering coefficient in cartesian grid cells of size <ggsz> with midpoints given by <psxg>, <psyg>, and <pszg>, calculated by regenerating points in the voxels, and counting the number <nbrp> of points in the grid cells, and then converting back to volume backscattering [Volume BackScattering Coefficient]
vbss	A vector of the volume backscattering coefficients of the voxels inside a segment of the acoustic data [Volume BackScattering coefficient inside a Segment]
vind	The indices for voxels plotted by cplot3d.TSD() [Voxel INDices]
vlxf	Speed of the fish along the x axis [VeLocity along the X axis for the Fish]
vlxv	Speed of the vessel along the x axis [VeLocity along the X axis for the Vessel]
vlyf	Speed of the fish along the y axis [VeLocity along the Y axis for the Fish]
vlyv	Speed of the vessel along the y axis [VeLocity along the Y axis for the Vessel]
vlzf	Speed of the fish along the z axis [VeLocity along the Z axis for the Fish]
vlzv	Speed of the vessel along the z axis [VeLocity along the Z axis for the Vessel]
vols	A vector of the volumes of the voxels inside a segment [VOLume of the voxels in a Segment]
volS	The volume of a school [VOLume of School]
volx	An array of the volume of the voxels [VOLume of the voXels]
XarP	The horizontal area of the valid part of the sonar volume at each ping, discarding typically the 100 closest voxels of each beam and 11 beams to the rear [sX90 segmentation method, horizontal ARea of Ping]
Xasv	Average volume backscattering coefficient of a school segmented with the SX90 segmentation method (average of the sv's inside the segmentation mask) [sX90 segmentation method, Average (linear) SV of school]
XaSv	Average volume backscattering strength of a school segmented with the SX90 segmentation method (10 log_10(average of the sv's inside the segmentation mask)) [sX90 segmentation method, Average (deciBel) SV of school]
Xcsz	The estimated size (diameter) of the school as if it were circular [sX90 segmentation method, Circular Size of the School]
Xcmx	The x coordinate of the center of mass of a school segmented by the SX90 segmentation method [sX90 segmentation method, Center of mass, X coordinate, of the school]
Xcmy	The x coordinate of the center of mass of a school segmented by the SX90 segmentation method [sX90 segmentation method, Center of mass, Y coordinate, of the school]
Xcmz	The x coordinate of the center of mass of a school segmented by the SX90 segmentation method [sX90 segmentation method, Center of mass, Z coordinate, of the school]
Xsbg	A vector of the smoothed (along beams, across beams, and across pings) background (noise). Used in the SX90 segmentation method in Profus [sX90 segmentation method, Smoothed BackGround (noise)]
Xsb1	Same as Xsbg, but smoothing over only one ping [sX90 segmentation method, Smoothed Background (noise), only one ping]
Xtha	The total horizontal area of a school, segmented with the SX90 segmentation method [sX90 segmentation method, Total Horizontal Area of the school]
Xtvl	The total volume of a school, segmented with the SX90 segmentation method [sX90 segmentation method, Total VoLume of the school]
Xtbs	The total backscattering cross section (sigma_bs) of a school segmented with the SX90 segmentation method [sX90 segmentation method, Total Backscattering cross Section of the school]
XtTS	The total Target Strength (backscattering cross section in decibel) of a school segmented with the SX90 segmentation method (equal to 10 log_10(Xtbs)) [sX90 segmentation method, Total Target Strength of the school]
Xmsv	Mean volume backscattering coefficient of a school segmented with the SX90 segmentation method [sX90 segmentation method, Mean (linear) SV of school]
XmSv	Mean volume backscattering strength of a school segmented with the SX90 segmentation method (equal to 10 log_10(Xmsv)) [sX90 segmentation method, Mean (deciBel) SV of school]
Xqsv	The upper 90 % quantile of the volume backscattering coefficient of the school segmented with the SX90 segmentation method [sX90 segmentation method, upper 90 % Quantile of the (linear) SV of the school]
XqSv	The upper 90 % quantile of the volume backscattering strength (decibel) of the school segmented with the SX90 segmentation method [sX90 segmentation method, upper 90 % Quantile of the SV of the school]
Xvsv	Average volume backscattering coefficient of the ping (holding schools segmented with the robust segmentation method), calculated as <Xtbs> divided by the total valid volume of the sonar (possibly discarding ranges close to the sonar and beams oriented to the rare of the vessel) [sX90 segmentation method, Valid volume backscatter (linear) SV]
XvSv	Average volume backscattering strength of the ping (holding schools segmented with the SX90 segmentation method, equal to 10 log_10(Xvsv)) [sX90 segmentation method, Valid volume backscatter (decibel) SV]
Xvsa	The average area backscattering coefficient of the ping (holding schools segmented with the SX90 segmentation method) [sX90 segmentation method, Valid average (linear) SA of school]
XvSa	The average area backscattering strength of the ping (holding schools segmented with the SX90 segmentation method, equal to 10 log_10(Xvsa)) [sX90 segmentation method, per Ping (capital P to indicate ->) average (deciBel) SA of school]
Xsbr	The signal to background (noise) ratio of a school segmented with the SX90 segmentation method, given in linear values (volume backscattering coefficient) [sX90 segmentation method, Signal to Background Ratio]
XSBR	The signal to background (noise) ratio of a school segmented with the SX90 segmentation method, given in deciBel values (volume backscattering strength) [sX90 segmentation method, Signal to Background Ratio, capital letters to indicate deciBel]
Xthr	The final threshold used in the segmentation, one value for each sample (along beams) for each ping [sX90 segmentation method, THReshold]
Xvvl	The volume of the valid part of the sonar volume at each ping, discarding typically the 100 closest voxels of each beam and 11 beams to the rear [sX90 segmentation method, VoLume of Ping]
zera	A vector of the voxel indices at the first occurrence of snra<thra for each beam [first value set to ZERo in the near range noise in Active mode]
zern	A vector of the voxel at the first occurance of nrns<thrn for each beam [first value set to ZERo in the Near range noise]
zerp	A vector of the voxel indices at the first occurrence of snrp<thrp for each beam [first value set to ZERo in the near range noise in Passive mode]
zers	A vector of the voxel at the first occurance of snrn<thrs for each beam [first value set to ZERo in the Smoothed near range noise]
zeta	Ratio between length of swim bladder and length of fish (lenl/size) [ZETA, as in the greek letter used in Holmin et al. 2012]
d000	The dimension information of the variables in a TSD file, specified as 'the number of variables with dimension,the vector of the number of dimensions for these variables, the index number of these variables in the list of variables as they appear in the file, and the dimensions for each variable' [Dimensions, 000 denotes that this is a system variable]
f000	A list of the file names of the event, saved in the UNIX_time.tsd file [File names, 000 denotes that this is a system variable]
i000	A list of the time point indices of the files given in <f000>, saved in the UNIX_time.tsd file [Indices of time points, 000 denotes that this is a system variable]
I000	A vector of the unique time point indices of the files given in <f000>, saved in the UNIX_time.tsd file [Indices of time points, upper case letter denotes unique values, and 000 denotes that this is a system variable]
l000	The names of the variables in the files given in <f000>, saved in the UNIX_time.tsd file [Labels, 000 denotes that this is a system variable]
n000	The <lvar> information of the variables in the files given in <f000>, saved in the UNIX_time.tsd file (only used for information) [Number of elements of each variable, 000 denotes that this is a system variable]
r000	The number of rows of the <lvar> information of the variables in the files given in <f000>, saved in the UNIX_time.tsd file (used when reading 'lvar' in read.TSD(), reducing CPU time) [Rows, 000 denotes that this is a system variable]
t000	The UNIX time at which the file was created, given in UTC [Time of file, 000 denotes that this is a system variable]
u000	A list of the UNIX time points contained in the files given in <f000>, saved in the UNIX_time.tsd file [Unix time points, 000 denotes that this is a system variable]
U000	A vector of the unique UNIX time points contained in the files given in <f000>, saved in the UNIX_time.tsd file [Unix time points, upper case letter denotes unique values, and 000 denotes that this is a system variable]
avsv	Average volume backscattering coefficient sv [AVerage SV]
avSv	Average volume backscattering strength (10 * log_10(avsv)) [AVerage SV]
mdsv	Median volume backscattering coefficient [MeDian SV]
mdSv	Median volume backscattering strength (10 * log_10(mdsv)) [MeDian SV]
mesv	Mean volume backscattering coefficient, calculated by sum(sv * vol) / sum(vol) [MEan SV]
meSv	Mean volume backscattering strength (10 * log_10(mesv)) [MEan SV]
masv	Mean volume backscattering coefficient weighted by voxel areas instead of volumes, calculated by sum(sv * area) / sum(area) [Mean Area SV]
maSv	Mean volume backscattering strength (10 * log_10(mesv)) [Mean Area SV]
rbsv	Robust mean volume backscattering coefficient, calculated by the parametreic method presented in Paper III of the PhD of Holmin, where the empirical PDF of the Sv inside the segmentation mask is fitted to the theoretical PDF (Gumbel) [RoBust mean SV]
rbSv	Robust mean volume backscattering strength (10 * log_10(rbsv)) [RoBust mean SV]
pksv	Mean density peak volume backscattering coefficient, calculated parametrically from the peak of the kernel density estimate using the Gumbel distribution [PeaK mean SV]
pkSv	Mean density peak volume backscattering strength (10 * log_10(pksv)) [PeaK mean SV]
Gmsv	Simple Gumbel approximateion of mean backscattering coefficient, using the formula Gmsv <- quantile(Sv, 0.93, names=FALSE, na.rm=TRUE) - 4.25 [GuMbel mean SV]
GmSv	Simple Gumbel approximateion of mean backscattering strength (10 * log_10(pksv)) [GuMbel mean SV]
mxsv	Max volume backscattering coefficient [MaX SV]
mxSv	Max volume backscattering strength (10 * log_10(mxsv)) [MaX SV]
sdsv	Standard deviation of the volume backscattering coefficient [Standard Deviation of SV]
sdSv	Standard deviation of the volume backscattering strength [Standard Deviation of SV]
tbsc	Total backscatter, calculated by sum(sv * vol) [Total BackSCatter]
tgTS	Total Target Strength, (10 * log_10(tbsc)) [Total Group Target Strength]
tvol	Total volume sum(vol) [Total VOLume]
thar	Total horizontal area [Total Horizontal ARea]
